Time,Current NG (RMS) (RMS),Current NG (RMS),Current AN (RMS) (RMS),Current AN (RMS),Current LineToNeutralAverage (RMS),Current BN (RMS),Current CN (RMS),Current AN (TotalTHD),Current BN (TotalTHD),Current CN (TotalTHD),Power Total (S),Power Total (Q),Power Total (P),Voltage AN (TotalTHD),Voltage BN (TotalTHD),Voltage CN (TotalTHD),Voltage AN (FlkrPLT),Voltage BN (FlkrPLT),Voltage BN (FlkrPST),Voltage CN (FlkrPLT),Voltage CN (FlkrPST),Voltage AN (FlkrPST),Voltage AN (RMS),Voltage BN (RMS),Voltage CN (RMS),Voltage LineToNeutralAverage (RMS)
00:00.0,0,0.09705566614866257,0,0.13355706632137299,0.1456907093524933,0.12419374287128448,0.17932158708572388,35.86204147338867,41.71437454223633,25.754297256469727,5689.6562576293945,-5263.91077041626,2159.467935562134,1.7782542705535889,1.8313652276992798,1.9928898811340332,0.3312474191188812,0.33813896775245667,0.5365231037139893,0.3298342823982239,0.5342574715614319,0.5440430641174316,14021.9970703125,13996.5498046875,14008.5830078125,14009.0244140625
00:15.0,0,0.09657491743564606,0,0.1335885226726532,0.1457536667585373,0.12444287538528442,0.1792294979095459,37.62342834472656,41.68852233886719,26.211801528930664,5691.094875335693,-5265.6755447387695,2158.9677333831787,1.7861614227294922,1.8339548110961914,1.971838116645813,0.3312474191188812,0.33813896775245667,0.18825256824493408,0.3298342823982239,0.22321817278862,0.2016582041978836,14023.365234375,14000.384765625,14005.5693359375,14009.763671875
00:30.0,0,0.09743240475654602,0,0.13362085819244385,0.14587730169296265,0.1244969293475151,0.17951425909996033,37.68939208984375,41.58393096923828,26.00296974182129,5698.728084564209,-5266.942977905273,2175.9183406829834,1.777387022972107,1.8357239961624146,1.9770503044128418,0.3312474191188812,0.33813896775245667,0.1012418270111084,0.3298342823982239,0.09902162849903107,0.08280639350414276,14064.6884765625,14034.65625,14040.646484375,14046.6669921875
00:45.0,0,0.09588640928268433,0,0.1339045763015747,0.14585083723068237,0.12464232742786407,0.17900539934635162,37.96800994873047,42.670501708984375,26.251039505004883,5702.690124511719,-5272.47428894043,2172.9350090026855,1.7767397165298462,1.8281452655792236,1.9924014806747437,0.3312474191188812,0.33813896775245667,0.12362300604581833,0.3298342823982239,0.1158432736992836,0.12337702512741089,14064.734375,14027.5986328125,14035.9033203125,14042.736328125
01:00.0,132,0.09532903879880905,132,0.13368552923202515,0.14581401646137238,0.12502352893352509,0.1787329465150833,38.04463195800781,42.062408447265625,26.4155216217041,5697.723388671875,-5270.893096923828,2163.7122631073,1.7796190977096558,1.8234044313430786,1.9608285427093506,0.3312474191188812,0.33813896775245667,0.12920184433460236,0.3298342823982239,0.11858177930116653,0.1259085237979889,14032.73046875,14002.029296875,14007.8564453125,14014.212890625
01:15.0,3,0.09464462846517563,3,0.13398337364196777,0.14589139819145203,0.12490159273147583,0.1787891685962677,36.417579650878906,40.58073806762695,25.55636978149414,5698.078155517578,-5272.504806518555,2160.7234477996826,1.7820520401000977,1.816382646560669,1.9578391313552856,0.3312474191188812,0.33813896775245667,0.3924359381198883,0.3298342823982239,0.43706730008125305,0.5023667216300964,14024.4140625,13988.3857421875,13998.3095703125,14003.6953125
01:30.0,0,0.09572006016969681,0,0.1336991935968399,0.14596043527126312,0.12517298758029938,0.17900922894477844,35.99720001220703,40.30792236328125,25.555891036987305,5710.323333740234,-5282.435417175293,2168.785333633423,1.771004319190979,1.820773959159851,1.9569871425628662,0.428921639919281,0.43932753801345825,0.6284551620483398,0.4443491995334625,0.6670374870300293,0.526098370552063,14039.638671875,14016.029296875,14015.9765625,14023.8779296875
01:45.0,0,0.09484218806028366,0,0.13420172035694122,0.1459808200597763,0.12471120059490204,0.17902928590774536,36.6848258972168,41.91101837158203,25.907251358032227,5716.433048248291,-5290.824890136719,2164.421319961548,1.7673490047454834,1.8667975664138794,1.9563536643981934,0.428921639919281,0.43932753801345825,0.5389028787612915,0.4443491995334625,0.5896461606025696,0.5059677362442017,14014.53125,13993.2421875,13993.5419921875,14000.4501953125
02:00.0,8,0.09621663391590118,8,0.134377583861351,0.1462002396583557,0.12467365711927414,0.1795494705438614,36.409019470214844,41.1092529296875,26.143783569335938,5743.017196655273,-5316.098213195801,2172.858715057373,1.7887771129608154,1.8326163291931152,1.9828951358795166,0.428921639919281,0.43932753801345825,0.2618723213672638,0.4443491995334625,0.28341659903526306,0.2590089440345764,14028.73046875,14011.0703125,14012.3388671875,14017.380859375
02:15.0,7,0.0959295928478241,7,0.13463197648525238,0.1462269425392151,0.1243244856595993,0.17972393333911896,35.597530364990234,39.96205139160156,25.22495460510254,5746.160507202148,-5318.153381347656,2176.1324405670166,1.764404535293579,1.83999764919281,1.9961055517196655,0.428921639919281,0.43932753801345825,0.34083622694015503,0.4443491995334625,0.344484806060791,0.3777110278606415,14049.859375,14018.34765625,14037.6357421875,14035.28125
02:30.0,0,0.09453828632831573,0,0.13463523983955383,0.1461343765258789,0.12459726631641388,0.1791706681251526,34.622169494628906,40.50482940673828,25.562623977661133,5738.6908531188965,-5313.567161560059,2167.5963401794434,1.7634942531585693,1.8385661840438843,1.999335527420044,0.428921639919281,0.43932753801345825,0.6017886400222778,0.4443491995334625,0.5764345526695251,0.5968549251556396,14024.5966796875,13999.0263671875,14005.5322265625,14009.7236328125
02:45.0,0,0.09672540426254272,0,0.13396291434764862,0.14624246954917908,0.12476098537445068,0.1800033301115036,35.42278289794922,39.40673065185547,24.43022918701172,5728.578567504883,-5300.996780395508,2171.6320514678955,1.7642848491668701,1.8473016023635864,1.9740259647369385,0.428921639919281,0.43932753801345825,0.663406252861023,0.4443491995334625,0.5832604169845581,0.6008011698722839,14014.244140625,14000.685546875,14005.65234375,14006.857421875
03:00.0,140,0.09737328439950943,140,0.13423383235931396,0.1464463323354721,0.1248888373374939,0.18021580576896667,35.04296112060547,39.38066101074219,24.937063217163086,5757.779598236084,-5329.040050506592,2180.2148818969727,1.7794688940048218,1.861447811126709,1.9596046209335327,0.428921639919281,0.43932753801345825,0.22106415033340454,0.4443491995334625,0.20392966270446777,0.20239987969398499,14053.1015625,14024.71484375,14036.013671875,14037.935546875
03:15.0,10,0.09708403050899506,10,0.13446301221847534,0.1464371234178543,0.12491326779127121,0.17993520200252533,35.898780822753906,40.86368179321289,25.5191707611084,5763.3209228515625,-5335.312366485596,2179.511070251465,1.7688851356506348,1.83799409866333,2.011230230331421,0.428921639919281,0.43932753801345825,0.12638992071151733,0.4443491995334625,0.1165257915854454,0.12172277271747589,14041.3330078125,14022.8154296875,14017.029296875,14027.056640625
03:30.0,0,0.09735838323831558,0,0.134022057056427,0.1465027928352356,0.1253650188446045,0.180121049284935,34.12314987182617,39.78099060058594,24.99756622314453,5760.326385498047,-5336.651802062988,2168.290615081787,1.7745600938796997,1.8467813730239868,1.9884222745895386,0.428921639919281,0.43932753801345825,0.3330219089984894,0.4443491995334625,0.3436432182788849,0.3504815995693207,14009.1474609375,13997.421875,13991.779296875,13999.44140625
03:45.0,0,0.09837405383586884,0,0.13425545394420624,0.14672128856182098,0.1254272609949112,0.18048107624053955,34.53535842895508,38.14978790283203,24.2645263671875,5785.654067993164,-5359.926700592041,2178.26771736145,1.7529938220977783,1.8384596109390259,1.9892232418060303,0.428921639919281,0.43932753801345825,0.6011450886726379,0.4443491995334625,0.6387636065483093,0.6061019897460938,14049.6982421875,14031.4912109375,14029.0556640625,14036.7470703125
04:00.0,16,0.09599649906158447,16,0.13436217606067657,0.1464543342590332,0.12526753544807434,0.1797330528497696,33.86345672607422,38.832096099853516,25.031911849975586,5762.302875518799,-5337.062835693359,2172.5034713745117,1.7415156364440918,1.8308050632476807,1.9780466556549072,0.428921639919281,0.43932753801345825,0.5478399395942688,0.4443491995334625,0.5472508072853088,0.5255708694458008,14030.3056640625,14004.40625,14008.4248046875,14014.3798828125
04:15.0,14,0.09604313969612122,14,0.1339438259601593,0.1462630331516266,0.125013530254364,0.17983148992061615,37.18394088745117,40.47866439819336,25.32939910888672,5728.201389312744,-5296.925067901611,2180.56058883667,1.7550593614578247,1.831801176071167,2.003326892852783,0.428921639919281,0.43932753801345825,0.30416637659072876,0.4443491995334625,0.28837311267852783,0.2910110056400299,14030.626953125,14001.55078125,14008.671875,14013.62890625
04:30.0,0,0.09551579505205154,0,0.13427412509918213,0.14646871387958527,0.12523426115512848,0.17989802360534668,36.19308853149414,38.50690841674805,23.685529708862305,5757.282257080078,-5331.007957458496,2174.060583114624,1.7805067300796509,1.8432793617248535,1.9871447086334229,0.4484720230102539,0.46264490485191345,0.16834618151187897,0.4592590928077698,0.1667926013469696,0.18657223880290985,14031.8251953125,14007.9765625,14011.2607421875,14017.0185546875
04:45.0,0,0.0957798957824707,0,0.13404080271720886,0.1464187651872635,0.12540897727012634,0.1798066943883896,34.8739128112793,37.81569290161133,23.769100189208984,5744.021892547607,-5317.2502517700195,2172.6694107055664,1.818314790725708,1.887174129486084,1.9750936031341553,0.4484720230102539,0.46264490485191345,0.6125673055648804,0.4592590928077698,0.6903387308120728,0.5984315872192383,14021.6201171875,14003.07421875,13998.8203125,14007.83203125
05:00.0,148,0.09469728916883469,148,0.1342114955186844,0.146506205201149,0.12563753128051758,0.1796698123216629,34.47990417480469,37.84024429321289,23.6688232421875,5759.280681610107,-5338.193893432617,2161.695957183838,1.785589575767517,1.882259726524353,2.00909423828125,0.4484720230102539,0.46264490485191345,0.5379048585891724,0.4592590928077698,0.5410465002059937,0.5276795029640198,13982.94921875,13970.5517578125,13965.359375,13972.9609375
05:15.0,17,0.09518852829933167,17,0.1348094940185547,0.1466062217950821,0.1248321533203125,0.18017704784870148,34.456607818603516,37.58229446411133,24.077489852905273,5773.340702056885,-5349.964618682861,2170.0875759124756,1.819597601890564,1.8935801982879639,2.014605760574341,0.4484720230102539,0.46264490485191345,0.3812696933746338,0.4592590928077698,0.427603155374527,0.38138607144355774,14023.201171875,13999.15234375,14003.3662109375,14008.5751953125
05:30.0,0,0.09591776877641678,0,0.1338394284248352,0.14633814990520477,0.12539324164390564,0.17978151142597198,35.454795837402344,37.090370178222656,22.99610137939453,5733.068943023682,-5302.745819091797,2179.213762283325,1.7936789989471436,1.875191330909729,2.0105977058410645,0.4484720230102539,0.46264490485191345,0.15126170217990875,0.4592590928077698,0.14396199584007263,0.14896515011787415,14019.275390625,14005.16015625,14002.9921875,14009.1513671875
05:45.0,0,0.09620949625968933,0,0.13396002352237701,0.14656323194503784,0.12558352947235107,0.18014633655548096,35.547664642333984,38.05826187133789,23.845001220703125,5752.795696258545,-5327.280044555664,2171.309232711792,1.8137110471725464,1.8778119087219238,2.0156795978546143,0.4484720230102539,0.46264490485191345,0.18636345863342285,0.4592590928077698,0.17415964603424072,0.18919196724891663,14006.359375,13990.087890625,13989.3896484375,13995.287109375
06:00.0,24,0.09567180275917053,24,0.13446640968322754,0.14666196703910828,0.12528178095817566,0.1802377700805664,34.99363708496094,36.20704650878906,23.066701889038086,5756.507396697998,-5327.808380126953,2179.8436641693115,1.8225940465927124,1.8987698554992676,1.9879555702209473,0.4484720230102539,0.46264490485191345,0.6190153360366821,0.4592590928077698,0.633378803730011,0.5898045897483826,14040.853515625,14014.7373046875,14013.9091796875,14023.1591796875
06:15.0,21,0.09590345621109009,21,0.13453273475170135,0.1466478705406189,0.12497201561927795,0.18043911457061768,36.014801025390625,39.24627685546875,24.788639068603516,5756.218910217285,-5330.3022384643555,2172.9941368103027,1.8227102756500244,1.851953148841858,2.0265259742736816,0.4484720230102539,0.46264490485191345,0.5960645079612732,0.4592590928077698,0.5991519093513489,0.5999017357826233,14010.76953125,13995.662109375,14001.4013671875,14002.615234375
06:30.0,0,0.09584414213895798,0,0.13395681977272034,0.14654888212680817,0.1254263073205948,0.18026335537433624,36.40637969970703,37.60965347290039,24.30695343017578,5744.85445022583,-5319.04935836792,2170.4893112182617,1.8114957809448242,1.8395088911056519,1.9763754606246948,0.4484720230102539,0.46264490485191345,0.37399768829345703,0.4592590928077698,0.3398699164390564,0.3378082811832428,14006.658203125,13994.8310546875,13992.873046875,13998.1162109375
06:45.0,0,0.09486668556928635,0,0.13467459380626678,0.146653950214386,0.12538914382457733,0.17989809811115265,35.795860290527344,38.98965835571289,24.914342880249023,5766.207218170166,-5340.614795684814,2174.1366386413574,1.7442315816879272,1.8623275756835938,2.006544828414917,0.4484720230102539,0.46264490485191345,0.2414715588092804,0.4592590928077698,0.25148507952690125,0.24433867633342743,14036.36328125,14015.7373046875,14005.978515625,14019.3623046875
07:00.0,156,0.09499076008796692,156,0.13490711152553558,0.14669813215732574,0.1250370293855667,0.1801495999097824,35.4470329284668,39.552001953125,24.984432220458984,5768.4526443481445,-5343.669891357422,2172.584056854248,1.7754597663879395,1.8576112985610962,1.9728893041610718,0.4484720230102539,0.46264490485191345,0.6042953729629517,0.4592590928077698,0.5759711861610413,0.5482139587402344,14020.509765625,14006.4423828125,13998.8447265625,14008.595703125
07:15.0,24,0.09488272666931152,24,0.13455574214458466,0.14660340547561646,0.12518911063671112,0.18006540834903717,33.725833892822266,36.20954895019531,23.770029067993164,5758.946895599365,-5334.33198928833,2170.295000076294,1.7885187864303589,1.835824728012085,1.977461814880371,0.4484720230102539,0.46264490485191345,0.6387709379196167,0.4592590928077698,0.557520866394043,0.5246422290802002,14010.990234375,13996.8837890625,13991.115234375,13999.6591796875
07:30.0,0,0.09391405433416367,0,0.13450376689434052,0.1464828997850418,0.12527549266815186,0.17966915667057037,33.94442367553711,36.999019622802734,24.09894561767578,5746.949672698975,-5320.189476013184,2173.2401847839355,1.7812297344207764,1.8382463455200195,1.972686529159546,0.48683401942253113,0.5140600800514221,0.5673316121101379,0.5128183960914612,0.5381065607070923,0.55874103307724,14022.8857421875,13994.904296875,14001.52734375,14006.44921875
07:45.0,0,0.09451965987682343,0,0.13388822972774506,0.14638274908065796,0.12589576840400696,0.1793641895055771,34.8438606262207,37.12601089477539,24.36561393737793,5727.965831756592,-5297.532081604004,2178.455114364624,1.7780927419662476,1.8319388628005981,1.9539085626602173,0.48683401942253113,0.5140600800514221,0.19282247126102448,0.5128183960914612,0.178092822432518,0.1851111203432083,14016.482421875,14001.1318359375,13991.5322265625,14003.0556640625
08:00.0,32,0.0945388674736023,32,0.13439983129501343,0.14650678634643555,0.12527617812156677,0.17984403669834137,35.418148040771484,38.82071304321289,24.860214233398438,5743.289947509766,-5314.51940536499,2177.4191856384277,1.792443037033081,1.8600960969924927,2.0011727809906006,0.48683401942253113,0.5140600800514221,0.44613149762153625,0.5128183960914612,0.491366446018219,0.5292484164237976,14020.9130859375,14004.962890625,14001.607421875,14009.1513671875
08:15.0,28,0.09523794054985046,28,0.1347532719373703,0.14668668806552887,0.1250143051147461,0.18029214441776276,35.497310638427734,38.87307357788086,25.033109664916992,5757.424354553223,-5326.511383056641,2185.4517459869385,1.785598874092102,1.8540959358215332,1.9629117250442505,0.48683401942253113,0.5140600800514221,0.6233027577400208,0.5128183960914612,0.563493013381958,0.6942147612571716,14050.255859375,14025.1748046875,14033.2373046875,14036.2421875
08:30.0,0,0.0952424705028534,0,0.13442613184452057,0.1466391682624817,0.12535762786865234,0.1801338642835617,35.34321212768555,37.64923095703125,23.84841537475586,5749.98140335083,-5320.153713226318,2181.314706802368,1.7908272743225098,1.8371926546096802,1.9342107772827148,0.48683401942253113,0.5140600800514221,0.496503621339798,0.5128183960914612,0.5244553685188293,0.5410090684890747,14028.5,14011.908203125,14007.9365234375,14016.12890625
08:45.0,0,0.0952804684638977,0,0.1337834596633911,0.14653411507606506,0.1259234994649887,0.17989550530910492,35.46391296386719,37.91219711303711,24.176342010498047,5739.6111488342285,-5309.062957763672,2181.0462474823,1.7772479057312012,1.8247425556182861,1.9499398469924927,0.48683401942253113,0.5140600800514221,0.18490688502788544,0.5128183960914612,0.1734832227230072,0.18227379024028778,14017.81640625,14006.3544921875,14004.89453125,14009.6875
09:00.0,164,0.09584259986877441,164,0.13434326648712158,0.14672264456748962,0.12530003488063812,0.18052467703819275,36.356346130371094,38.96649932861328,25.482473373413086,5761.393070220947,-5334.349155426025,2176.748037338257,1.808774471282959,1.8515950441360474,1.984183669090271,0.48683401942253113,0.5140600800514221,0.12027227878570557,0.5128183960914612,0.11689353734254837,0.12951600551605225,14014.296875,14002.515625,14000.580078125,14005.806640625
09:15.0,31,0.09402400255203247,31,0.13484637439250946,0.14669206738471985,0.12524932622909546,0.1799801141023636,33.4963493347168,39.24513626098633,24.973648071289062,5760.869026184082,-5334.897041320801,2174.0334033966064,1.7671862840652466,1.8433644771575928,1.987255334854126,0.48683401942253113,0.5140600800514221,0.6456899642944336,0.5128183960914612,0.5644196271896362,0.610528826713562,14015.27734375,13994.8740234375,13995.4248046875,14001.8623046875
09:30.0,0,0.09411244839429855,0,0.13424915075302124,0.14653423428535461,0.1255844384431839,0.17976894974708557,34.46217346191406,38.635921478271484,24.836849212646484,5734.846591949463,-5307.851791381836,2171.398639678955,1.7798012495040894,1.835998296737671,1.9839574098587036,0.48683401942253113,0.5140600800514221,0.4933503568172455,0.5128183960914612,0.4637007415294647,0.5300304889678955,13988.765625,13975.009765625,13976.646484375,13980.15234375
09:45.0,0,0.0946265459060669,0,0.13438130915164948,0.1466764211654663,0.12566860020160675,0.17997917532920837,35.91099166870117,39.59683609008789,25.60035514831543,5743.155479431152,-5316.1492347717285,2173.0833053588867,1.7404268980026245,1.7896347045898438,1.9320404529571533,0.48683401942253113,0.5140600800514221,0.1770668476819992,0.5128183960914612,0.17257706820964813,0.17636588215827942,14005.72265625,13992.3359375,13986.5048828125,13994.86328125
10:00.0,40,0.09334203600883484,40,0.13408271968364716,0.1464659571647644,0.1257779598236084,0.1795373409986496,36.10715103149414,39.4429817199707,25.481956481933594,5712.599277496338,-5283.870220184326,2171.1838245391846,1.7569886445999146,1.8410003185272217,1.94568932056427,0.48683401942253113,0.5140600800514221,0.1784610152244568,0.5128183960914612,0.17033343017101288,0.19456081092357635,13976.7333984375,13959.7744140625,13957.4228515625,13964.650390625
10:15.0,35,0.0916685238480568,35,0.1342155486345291,0.14632107317447662,0.12567254900932312,0.1790749430656433,34.718658447265625,36.55058288574219,24.109825134277344,5708.819389343262,-5287.683963775635,2151.95894241333,1.7922139167785645,1.8059756755828857,1.9734302759170532,0.48683401942253113,0.5140600800514221,0.6406785845756531,0.5128183960914612,0.5249890685081482,0.5503650903701782,13941.96484375,13921.765625,13921.9345703125,13928.544921875
10:30.0,0,0.09151460975408554,0,0.1341135948896408,0.14632830023765564,0.12591740489006042,0.17895422875881195,34.03369903564453,37.54417419433594,24.163726806640625,5715.583324432373,-5294.280052185059,2153.7044048309326,1.7540233135223389,1.8336994647979736,1.9694225788116455,0.48313137888908386,0.467416912317276,0.45367664098739624,0.4455687999725342,0.5571492314338684,0.5210785269737244,13951.734375,13931.1796875,13925.896484375,13936.2578125
10:45.0,0,0.09329037368297577,0,0.13384556770324707,0.14642077684402466,0.12577420473098755,0.1796429306268692,34.580474853515625,38.03660583496094,25.050649642944336,5727.338790893555,-5306.379318237305,2155.1525592803955,1.7790125608444214,1.8328653573989868,1.9702585935592651,0.48313137888908386,0.467416912317276,0.2502833306789398,0.4455687999725342,0.2234906554222107,0.23252399265766144,13941.0146484375,13921.646484375,13920.912109375,13927.8701171875
11:00.0,172,0.09293454140424728,172,0.133819118142128,0.14636418223381042,0.1258462816476822,0.17942744493484497,36.47698974609375,39.61421585083008,26.04297637939453,5725.188255310059,-5304.105281829834,2155.0276279449463,1.801688551902771,1.8307454586029053,1.9783169031143188,0.48313137888908386,0.467416912317276,0.13564947247505188,0.4455687999725342,0.13998353481292725,0.1501029133796692,13947.2880859375,13934.7470703125,13934.39453125,13938.80859375
11:15.0,38,0.09222988784313202,38,0.13370153307914734,0.1461988389492035,0.12564197182655334,0.17925316095352173,34.67133331298828,37.49583053588867,25.313823699951172,5698.336601257324,-5272.330760955811,2161.7634296417236,1.7840802669525146,1.8126912117004395,1.9502276182174683,0.48313137888908386,0.467416912317276,0.6211398243904114,0.4455687999725342,0.6700144410133362,0.6297350525856018,13954.6953125,13933.658203125,13939.6875,13942.6689453125
11:30.0,0,0.09138257056474686,0,0.13429579138755798,0.1462804526090622,0.12544962763786316,0.1790960133075714,35.338035583496094,39.272621154785156,25.869802474975586,5718.252658843994,-5296.300888061523,2155.778169631958,1.7435603141784668,1.816917061805725,1.952785611152649,0.48313137888908386,0.467416912317276,0.518621027469635,0.4455687999725342,0.588370144367218,0.5404561758041382,13935.541015625,13918.47265625,13921.66796875,13925.2255859375
11:45.0,0,0.09124976396560669,0,0.13399159908294678,0.14611570537090302,0.1253766566514969,0.1789785623550415,36.05926513671875,39.80424880981445,25.834402084350586,5690.074920654297,-5265.736103057861,2156.127452850342,1.750892996788025,1.8116745948791504,1.9523988962173462,0.48313137888908386,0.467416912317276,0.4970107078552246,0.4455687999725342,0.5906828045845032,0.5418691039085388,13934.107421875,13914.369140625,13918.6337890625,13922.376953125
12:00.0,48,0.09184498339891434,48,0.13405604660511017,0.14623379707336426,0.1256456822156906,0.17899984121322632,35.798866271972656,39.6589469909668,25.980571746826172,5706.318378448486,-5281.486511230469,2160.515785217285,1.7642908096313477,1.7966548204421997,1.9664989709854126,0.48313137888908386,0.467416912317276,0.17637448012828827,0.4455687999725342,0.16208340227603912,0.17324112355709076,13955.8037109375,13942.609375,13935.2236328125,13944.537109375
