time,ambient_temp1,ambient_temp2,ambient_rh,ir,inv_temp1,inv_temp2,inv_rh,deviceID
2024-04-15 00:00:00,19.354,22.093,53.21,0.0,23.284,24.11,21.676,28
2024-04-15 00:05:00,19.359,21.981,53.571,0.009,23.212,24.033,21.725,28
2024-04-15 00:10:00,19.214,21.816,54.175,0.0,23.128,23.972,21.803,28
2024-04-15 00:15:00,18.982,21.654,54.878,0.0,23.049,23.885,21.937,28
2024-04-15 00:20:00,18.893,21.635,54.864,0.0,22.975,23.8,22.044,28
2024-04-15 00:25:00,18.846,21.584,55.153,0.083,22.893,23.719,22.186,28
2024-04-15 00:30:00,18.888,21.676,54.9,0.0,22.821,23.647,22.255,28
2024-04-15 00:35:00,18.89,21.68,54.899,0.0,22.744,23.566,22.3,28
2024-04-15 00:40:00,18.9,21.629,55.047,0.0,22.671,23.494,22.353,28
2024-04-15 00:45:00,18.83,21.633,54.851,0.0,22.597,23.408,22.389,28
2024-04-15 00:50:00,18.683,21.497,55.109,0.0,22.504,23.309,22.488,28
2024-04-15 00:55:00,18.469,21.328,55.559,0.0,22.404,23.242,22.557,28
2024-04-15 01:00:00,18.515,21.384,55.731,0.0,22.329,23.164,22.709,28
2024-04-15 01:05:00,18.415,21.272,55.945,0.0,22.26,23.093,22.756,28
2024-04-15 01:10:00,18.224,21.146,56.624,0.0,22.179,23.004,22.86,28
2024-04-15 01:15:00,18.107,20.982,57.007,0.009,22.098,22.923,22.963,28
2024-04-15 01:20:00,18.133,20.917,57.423,0.0,22.013,22.834,23.114,28
2024-04-15 01:25:00,18.131,20.797,57.812,0.0,21.928,22.757,23.195,28
2024-04-15 01:30:00,18.045,20.7,58.017,0.0,21.856,22.674,23.237,28
2024-04-15 01:35:00,17.88,20.638,58.212,0.0,21.779,22.593,23.317,28
2024-04-15 01:40:00,17.941,20.745,58.302,0.0,21.698,22.486,23.43,28
2024-04-15 01:45:00,18.038,20.871,57.935,0.0,21.617,22.401,23.593,28
2024-04-15 01:50:00,17.969,20.809,57.92,0.009,21.553,22.332,23.6,28
2024-04-15 01:55:00,17.697,20.732,58.209,0.009,21.444,22.278,23.642,28
2024-04-15 02:00:00,17.512,20.568,58.925,0.019,21.366,22.19,23.775,28
2024-04-15 02:05:00,17.343,20.403,59.633,0.0,21.285,22.104,23.862,28
2024-04-15 02:10:00,16.97,20.111,60.906,0.0,21.199,22.013,23.954,28
2024-04-15 02:15:00,16.779,19.877,61.639,0.009,21.113,21.917,24.116,28
2024-04-15 02:20:00,16.718,19.802,61.736,0.0,21.023,21.814,24.28,28
2024-04-15 02:25:00,16.566,19.614,62.167,0.0,20.93,21.718,24.45,28
2024-04-15 02:30:00,16.634,19.668,62.292,0.0,20.842,21.62,24.556,28
2024-04-15 02:35:00,16.788,19.572,62.721,0.009,20.749,21.52,24.612,28
2024-04-15 02:40:00,16.815,19.487,63.541,0.028,20.665,21.407,24.741,28
2024-04-15 02:45:00,16.936,19.724,62.419,0.019,20.58,21.32,24.855,28
2024-04-15 02:50:00,16.996,19.78,62.404,0.0,20.475,21.251,24.9,28
2024-04-15 02:55:00,17.041,19.887,62.25,0.009,20.399,21.197,24.989,28
2024-04-15 03:00:00,17.22,20.042,61.797,0.0,20.322,21.123,25.139,28
2024-04-15 03:05:00,17.42,20.169,61.19,0.0,20.282,21.098,25.199,28
2024-04-15 03:10:00,17.382,20.126,60.912,0.0,20.208,21.072,25.192,28
2024-04-15 03:15:00,17.347,20.125,60.66,0.0,20.177,21.016,25.175,28
2024-04-15 03:20:00,17.384,20.271,60.417,0.0,20.124,20.999,25.273,28
2024-04-15 03:25:00,17.332,20.236,60.779,0.009,20.091,20.985,25.337,28
2024-04-15 03:30:00,17.175,20.083,60.957,0.019,20.032,20.936,25.4,28
2024-04-15 03:35:00,17.081,19.963,61.241,0.167,19.998,20.9,25.407,28
2024-04-15 03:40:00,16.931,19.903,61.692,0.0,19.954,20.866,25.547,28
2024-04-15 03:45:00,16.833,19.802,62.319,0.0,19.903,20.804,25.677,28
2024-04-15 03:50:00,16.493,19.492,63.264,0.009,19.862,20.765,25.788,28
2024-04-15 03:55:00,16.314,19.28,63.539,0.009,19.798,20.691,25.861,28
2024-04-15 04:00:00,16.088,19.07,64.632,0.0,19.733,20.614,25.986,28
2024-04-15 04:05:00,15.698,18.793,65.663,0.0,19.667,20.531,26.086,28
2024-04-15 04:10:00,15.491,18.559,66.164,0.065,19.551,20.405,26.215,28
2024-04-15 04:15:00,15.447,18.434,66.617,0.0,19.485,20.308,26.327,28
2024-04-15 04:20:00,15.413,18.358,66.884,0.0,19.399,20.214,26.423,28
2024-04-15 04:25:00,15.425,18.34,67.557,0.0,19.324,20.122,26.561,28
2024-04-15 04:30:00,15.284,18.184,68.531,0.0,19.231,20.041,26.653,28
2024-04-15 04:35:00,15.196,18.121,68.834,0.0,19.149,19.955,26.776,28
2024-04-15 04:40:00,14.869,17.931,69.576,0.0,19.058,19.853,26.888,28
2024-04-15 04:45:00,14.435,17.631,71.047,0.0,18.957,19.758,27.017,28
2024-04-15 04:50:00,14.22,17.291,73.891,0.0,18.854,19.63,27.179,28
2024-04-15 04:55:00,13.85,16.898,76.246,0.0,18.745,19.474,27.374,28
2024-04-15 05:00:00,13.492,16.556,77.09,1214.48,18.613,19.337,27.554,28
2024-04-15 05:05:00,13.173,16.235,78.177,607.198,18.467,19.199,27.713,28
2024-04-15 05:10:00,12.952,15.969,79.597,0.0,18.335,19.045,27.905,28
2024-04-15 05:15:00,12.788,15.677,81.392,0.0,18.21,18.905,28.144,28
2024-04-15 05:20:00,12.77,15.6,82.793,607.263,18.074,18.746,28.381,28
2024-04-15 05:25:00,12.715,15.447,83.58,0.0,17.937,18.584,28.557,28
2024-04-15 05:30:00,12.646,15.294,84.401,607.263,17.795,18.416,28.767,28
2024-04-15 05:35:00,12.498,15.177,84.447,0.0,17.633,18.265,28.893,28
2024-04-15 05:40:00,12.398,15.166,84.453,0.0,17.487,18.125,29.066,28
2024-04-15 05:45:00,12.249,15.063,84.467,0.0,17.346,17.982,29.198,28
2024-04-15 05:50:00,12.122,15.052,84.466,0.0,17.213,17.852,29.303,28
2024-04-15 05:55:00,11.946,14.862,84.787,0.0,17.077,17.693,29.403,28
2024-04-15 06:00:00,11.828,14.723,86.08,607.282,16.942,17.541,29.546,28
2024-04-15 06:05:00,11.771,14.571,86.849,606.976,16.809,17.403,29.67,28
2024-04-15 06:10:00,11.656,14.351,86.789,0.0,16.639,17.269,29.754,28
2024-04-15 06:15:00,11.6,14.294,86.537,0.0,16.51,17.148,29.834,28
2024-04-15 06:20:00,12.005,14.626,86.265,0.0,16.385,17.021,30.003,28
2024-04-15 06:25:00,12.286,14.984,85.307,0.0,16.281,16.927,30.098,28
2024-04-15 06:30:00,12.291,15.001,84.148,0.0,16.179,16.856,30.1,28
2024-04-15 06:35:00,12.154,14.992,83.784,0.0,16.084,16.774,30.166,28
2024-04-15 06:40:00,12.029,14.961,84.001,0.0,15.99,16.669,30.261,28
2024-04-15 06:45:00,12.006,14.908,84.069,0.0,15.907,16.596,30.441,28
2024-04-15 06:50:00,11.829,14.722,84.85,607.282,15.873,16.553,30.588,28
2024-04-15 06:55:00,11.708,14.534,85.434,607.282,15.9,16.561,30.875,28
2024-04-15 07:00:00,11.744,14.522,86.528,0.0,16.068,16.765,31.169,28
2024-04-15 07:05:00,11.984,14.675,87.021,29148.8,16.467,17.33,31.494,28
2024-04-15 07:10:00,12.124,14.642,88.151,178504.032,17.003,18.005,31.6,28
2024-04-15 07:15:00,12.394,14.861,87.979,182069.02,17.544,18.612,31.677,28
2024-04-15 07:20:00,12.675,15.073,87.41,181936.655,18.137,19.206,31.619,28
2024-04-15 07:25:00,13.116,15.444,85.713,181511.501,18.731,19.771,31.467,28
2024-04-15 07:30:00,13.59,15.905,82.463,75377.356,19.353,20.312,31.278,28
2024-04-15 07:35:00,14.11,16.305,79.859,1083.848,19.993,20.872,31.056,28
2024-04-15 07:40:00,14.561,16.549,79.46,691.034,20.635,21.444,30.874,28
2024-04-15 07:45:00,15.073,16.788,79.439,581.669,21.262,22.029,30.682,28
2024-04-15 07:50:00,15.651,17.104,79.22,524.929,21.908,22.64,30.56,28
2024-04-15 07:55:00,16.317,17.458,79.105,499.01,22.533,23.272,30.418,28
2024-04-15 08:00:00,17.136,17.832,78.096,487.176,23.18,23.943,30.284,28
2024-04-15 08:05:00,18.035,18.18,77.157,489.373,23.853,24.657,30.178,28
2024-04-15 08:10:00,19.192,18.443,76.756,501.54,24.493,25.366,30.051,28
2024-04-15 08:15:00,20.363,18.772,75.549,520.092,25.138,26.089,29.987,28
2024-04-15 08:20:00,21.504,19.13,74.702,524.438,25.781,26.832,29.927,28
2024-04-15 08:25:00,22.469,19.441,72.875,535.595,26.396,27.581,29.892,28
2024-04-15 08:30:00,23.441,19.838,71.666,549.448,27.008,28.339,29.911,28
2024-04-15 08:35:00,24.328,20.215,69.845,560.93,27.695,29.177,30.009,28
2024-04-15 08:40:00,25.3,20.564,68.995,571.753,28.415,30.101,30.166,28
2024-04-15 08:45:00,26.423,21.024,67.538,570.966,29.216,31.11,30.361,28
2024-04-15 08:50:00,26.884,21.293,65.31,601.722,30.072,32.181,30.59,28
2024-04-15 08:55:00,27.872,21.692,64.728,604.298,30.992,33.241,30.871,28
2024-04-15 09:00:00,28.758,21.934,63.101,607.124,31.967,34.42,31.098,28
2024-04-15 09:05:00,29.395,22.219,61.833,624.156,33.001,35.742,31.377,28
2024-04-15 09:10:00,30.453,22.65,61.336,626.436,34.063,37.101,31.626,28
2024-04-15 09:15:00,31.781,23.18,60.242,608.088,35.212,38.541,31.891,28
2024-04-15 09:20:00,32.468,23.501,57.915,617.596,36.401,39.798,32.119,28
2024-04-15 09:25:00,33.263,23.851,57.17,620.135,37.651,41.072,32.328,28
