time,ambient_temp1,ambient_temp2,ambient_rh,ir,inv_temp1,inv_temp2,inv_rh,deviceID
2023-10-30 00:00:00,14.291,16.192,98.826,0.918,18.734,19.362,36.256,28
2023-10-30 00:05:00,14.308,16.194,98.909,0.0,18.597,19.249,36.397,28
2023-10-30 00:10:00,14.405,16.149,99.0,0.0,18.461,19.144,36.542,28
2023-10-30 00:15:00,14.578,16.135,99.083,0.0,18.358,19.039,36.687,28
2023-10-30 00:20:00,14.802,16.247,99.208,0.595,18.258,18.945,36.836,28
2023-10-30 00:25:00,14.893,16.293,99.3,0.0,18.163,18.866,36.867,28
2023-10-30 00:30:00,15.039,16.367,99.358,0.0,18.084,18.796,36.848,28
2023-10-30 00:35:00,15.82,17.02,99.606,0.025,18.005,18.751,36.933,28
2023-10-30 00:40:00,16.444,17.525,99.8,0.051,17.984,18.754,36.993,28
2023-10-30 00:45:00,16.852,18.059,99.865,0.0,17.963,18.79,37.031,28
2023-10-30 00:50:00,17.007,18.202,99.9,0.0,17.951,18.816,37.08,28
2023-10-30 00:55:00,17.03,18.302,99.9,0.0,17.945,18.891,37.117,28
2023-10-30 01:00:00,17.089,18.362,99.9,0.0,17.98,18.907,37.132,28
2023-10-30 01:05:00,16.898,18.324,99.84,0.0,17.988,18.966,37.285,28
2023-10-30 01:10:00,17.335,18.643,99.927,0.0,17.999,19.0,37.435,28
2023-10-30 01:15:00,17.188,18.619,99.946,0.019,18.022,19.064,37.528,28
2023-10-30 01:20:00,17.113,18.578,99.834,0.009,18.05,19.098,37.608,28
2023-10-30 01:25:00,17.289,18.735,99.886,0.0,18.095,19.119,37.773,28
2023-10-30 01:30:00,17.39,18.863,99.817,0.0,18.116,19.191,37.878,28
2023-10-30 01:35:00,17.503,19.03,99.782,0.0,18.175,19.227,38.0,28
2023-10-30 01:40:00,17.369,18.945,99.64,0.0,18.205,19.297,38.079,28
2023-10-30 01:45:00,17.384,18.962,99.513,0.0,18.232,19.3,38.2,28
2023-10-30 01:50:00,17.41,19.011,99.257,0.0,18.257,19.326,38.33,28
2023-10-30 01:55:00,17.406,19.048,98.989,0.036,18.3,19.389,38.447,28
2023-10-30 02:00:00,17.138,18.852,98.434,0.009,18.314,19.401,38.605,28
2023-10-30 02:05:00,16.919,18.704,97.522,0.034,18.321,19.398,38.774,28
2023-10-30 02:10:00,17.169,18.748,97.618,0.0,18.343,19.399,38.931,28
2023-10-30 02:15:00,17.222,18.786,97.651,0.0,18.356,19.402,39.049,28
2023-10-30 02:20:00,17.246,18.719,97.661,0.0,18.364,19.406,39.153,28
2023-10-30 02:25:00,16.96,18.519,97.066,0.103,18.352,19.401,39.284,28
2023-10-30 02:30:00,16.702,18.369,97.077,0.054,18.342,19.391,39.457,28
2023-10-30 02:35:00,16.48,18.216,96.761,0.0,18.314,19.326,39.642,28
2023-10-30 02:40:00,16.135,17.842,95.966,0.0,18.292,19.295,39.798,28
2023-10-30 02:45:00,15.833,17.535,95.625,0.028,18.243,19.223,39.975,28
2023-10-30 02:50:00,15.74,17.416,96.405,0.028,18.193,19.152,40.171,28
2023-10-30 02:55:00,15.511,17.132,96.61,0.0,18.144,19.078,40.339,28
2023-10-30 03:00:00,15.297,16.958,96.797,0.062,18.086,18.993,40.47,28
2023-10-30 03:05:00,15.088,16.798,97.068,0.0,18.01,18.9,40.603,28
2023-10-30 03:10:00,15.126,16.767,97.621,0.0,17.94,18.812,40.771,28
2023-10-30 03:15:00,15.162,16.678,98.17,0.065,17.873,18.726,40.892,28
2023-10-30 03:20:00,15.11,16.596,98.493,0.0,17.805,18.652,40.991,28
2023-10-30 03:25:00,15.104,16.641,98.762,0.0,17.725,18.533,41.082,28
2023-10-30 03:30:00,15.105,16.587,99.046,0.0,17.626,18.472,41.168,28
2023-10-30 03:35:00,14.997,16.543,99.139,0.0,17.566,18.392,41.222,28
2023-10-30 03:40:00,14.977,16.514,99.283,0.0,17.491,18.316,41.307,28
2023-10-30 03:45:00,15.026,16.615,99.466,0.148,17.407,18.254,41.398,28
2023-10-30 03:50:00,15.182,16.784,99.612,0.0,17.358,18.194,41.474,28
2023-10-30 03:55:00,15.397,16.934,99.764,0.062,17.299,18.141,41.549,28
2023-10-30 04:00:00,15.451,17.0,99.9,0.0,17.249,18.104,41.596,28
2023-10-30 04:05:00,15.539,17.143,99.993,0.0,17.201,18.089,41.585,28
2023-10-30 04:10:00,15.645,17.175,100.089,0.0,17.184,18.053,41.6,28
2023-10-30 04:15:00,15.483,17.088,100.039,0.0,17.129,18.027,41.601,28
2023-10-30 04:20:00,15.386,16.995,100.066,0.034,17.098,18.004,41.671,28
2023-10-30 04:25:00,15.374,17.039,100.118,0.0,17.075,17.99,41.753,28
2023-10-30 04:30:00,15.396,17.12,100.2,0.037,17.015,17.959,41.879,28
2023-10-30 04:35:00,15.358,17.09,100.239,0.0,17.0,17.925,41.962,28
2023-10-30 04:40:00,15.191,16.713,100.244,0.0,16.982,17.913,42.0,28
2023-10-30 04:45:00,14.807,16.522,100.164,0.0,16.918,17.896,42.068,28
2023-10-30 04:50:00,14.649,16.444,100.196,0.381,16.9,17.834,42.155,28
2023-10-30 04:55:00,14.84,16.603,100.264,0.0,16.856,17.794,42.331,28
2023-10-30 05:00:00,15.082,16.802,100.391,0.0,16.81,17.762,42.451,28
2023-10-30 05:05:00,15.176,16.831,100.413,0.046,16.798,17.744,42.5,28
2023-10-30 05:10:00,15.078,16.686,100.4,0.056,16.787,17.715,42.5,28
2023-10-30 05:15:00,15.128,16.869,100.474,0.056,16.752,17.7,42.573,28
2023-10-30 05:20:00,15.203,16.811,100.502,0.046,16.712,17.691,42.601,28
2023-10-30 05:25:00,15.253,16.882,100.58,0.051,16.692,17.684,42.64,28
2023-10-30 05:30:00,15.295,16.889,100.6,0.0,16.681,17.678,42.7,28
2023-10-30 05:35:00,15.272,16.853,100.6,0.0,16.667,17.675,42.7,28
2023-10-30 05:40:00,15.374,16.977,100.642,0.078,16.653,17.685,42.695,28
2023-10-30 05:45:00,15.242,16.901,100.7,0.098,16.654,17.678,42.698,28
2023-10-30 05:50:00,15.29,16.93,100.7,0.0,16.643,17.672,42.7,28
2023-10-30 05:55:00,15.404,16.963,100.7,0.083,16.631,17.672,42.7,28
2023-10-30 06:00:00,15.568,16.999,100.7,0.0,16.654,17.685,42.643,28
2023-10-30 06:05:00,15.841,17.1,100.775,0.0,16.681,17.7,42.6,28
2023-10-30 06:10:00,16.089,17.113,100.8,0.019,16.712,17.739,42.548,28
2023-10-30 06:15:00,16.095,17.018,100.8,0.019,16.752,17.795,42.499,28
2023-10-30 06:20:00,16.009,17.013,100.8,0.0,16.772,17.8,42.5,28
