time,inv29_rh,inv30_rh,inv31_rh,rh,inv29_temp1,inv30_temp1,inv31_temp1,temp1,inv29_temp2,inv30_temp2,inv31_temp2,temp2,ir
2023-10-11 00:05:00,24.977,23.336,23.6,76.305,20.862,21.172,20.664,15.123,21.486,21.745,21.601,16.971,0.0
2023-10-11 00:10:00,25.19,23.461,23.646,77.823,20.71,21.027,20.486,14.967,21.293,21.563,21.398,16.765,0.0
2023-10-11 00:15:00,25.321,23.532,23.7,78.54,20.557,20.866,20.326,14.859,21.129,21.365,21.232,16.623,0.0
2023-10-11 00:20:00,25.504,23.6,23.7,79.232,20.371,20.721,20.158,14.744,20.953,21.206,21.065,16.472,0.074
2023-10-11 00:25:00,25.601,23.698,23.714,79.947,20.229,20.57,20.019,14.571,20.8,21.044,20.907,16.323,0.0
2023-10-11 00:30:00,25.707,23.799,23.764,80.688,20.064,20.374,19.868,14.387,20.634,20.883,20.75,16.168,0.12
2023-10-11 00:35:00,25.816,23.834,23.773,81.348,19.917,20.235,19.724,14.17,20.468,20.741,20.601,16.044,0.0
2023-10-11 00:40:00,25.929,23.9,23.8,81.533,19.764,20.075,19.545,13.876,20.3,20.59,20.422,15.838,1281.317
2023-10-11 00:45:00,26.093,23.996,23.8,81.752,19.603,19.93,19.39,13.633,20.148,20.403,20.263,15.68,0.0
2023-10-11 00:50:00,26.216,24.11,23.8,82.437,19.436,19.777,19.237,13.432,19.993,20.254,20.109,15.544,0.0
2023-10-11 00:55:00,26.369,24.16,23.861,83.023,19.277,19.61,19.082,13.333,19.843,20.092,19.957,15.462,0.0
2023-10-11 01:00:00,26.485,24.2,23.839,83.713,19.141,19.452,18.944,13.414,19.712,19.961,19.813,15.324,0.0
2023-10-11 01:05:00,26.586,24.275,23.8,84.577,19.001,19.315,18.815,13.499,19.542,19.829,19.673,15.271,0.0
2023-10-11 01:10:00,26.72,24.3,23.8,85.292,18.859,19.178,18.698,13.515,19.415,19.693,19.524,15.257,0.0
2023-10-11 01:15:00,26.828,24.3,23.8,85.858,18.739,19.048,18.55,13.532,19.301,19.542,19.404,15.25,0.0
2023-10-11 01:20:00,26.9,24.348,23.8,85.721,18.592,18.922,18.436,13.427,19.179,19.423,19.285,15.204,0.0
2023-10-11 01:25:00,26.995,24.419,23.793,85.909,18.454,18.793,18.319,13.312,19.065,19.307,19.173,15.229,0.0
2023-10-11 01:30:00,27.114,24.493,23.771,85.954,18.331,18.664,18.191,13.281,18.962,19.196,19.062,15.202,0.0
