Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040473,-,-,-,33.97,-81.06,-5,60,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
1999,1,1,0,30,-0.30000000000000004,0,0,0,0,-0.30000000000000004,0,0,0,0,100,169.05,0.14,1015,0.7000000000000001,327,1,0.0000,0.0000
1999,1,1,1,30,-0.9,0,0,0,7,-0.9,0,0,0,0,100,162.49,0.14,1015,0.7000000000000001,336,1,0.0000,0.0000
1999,1,1,2,30,-1.2000000000000002,0,0,0,4,-1.2000000000000002,0,0,0,0,100,151.1,0.14,1015,0.7000000000000001,344,0.9,0.0000,0.0000
1999,1,1,3,30,-1.1,0,0,0,7,-1.2000000000000002,0,0,0,0,98.95,138.81,0.14,1015,0.6000000000000001,350,0.9,0.0000,0.0000
1999,1,1,4,30,-0.9,0,0,0,4,-1.7000000000000002,0,0,0,0,94.13,126.38000000000001,0.14,1015,0.7000000000000001,353,0.9,0.0000,0.0000
1999,1,1,5,30,-0.8,0,0,0,0,-2.1,0,0,0,0,90.88,114.10000000000001,0.14,1016,0.7000000000000001,357,0.8,0.0000,0.0000
1999,1,1,6,30,-1.1,0,0,0,1,-2.4000000000000004,0,0,0,0,90.74,102.16,0.14,1017,0.7000000000000001,184,0.8,0.0000,0.0000
1999,1,1,7,30,-0.30000000000000004,0,0,0,0,-2.8000000000000003,0,0,0,0,83.26,90.13,0.14,1018,0.8,13,1.1,0.0000,0.0000
1999,1,1,8,30,2.2,40,630,148,1,-2.8000000000000003,40,630,0,148,69.64,80.12,0.14,1019,0.8,22,1.3,0.0000,0.0000
1999,1,1,9,30,5.300000000000001,57,816,324,4,-2.4000000000000004,109,406,0,242,57.71,70.87,0.14,1019,0.8,36,1.6,12.2917,9.5078
