time,ambient_temperature,relative_humidity,weather_condition
2022-01-01 00:56:00,21,90,Partly Cloudy
2022-01-01 01:22:00,21,90,Cloudy
2022-01-01 01:56:00,21,90,Cloudy
2022-01-01 02:03:00,22,87,Cloudy
2022-01-01 02:56:00,22,84,Cloudy
2022-01-01 03:56:00,22,87,Cloudy
2022-01-01 04:28:00,22,84,Cloudy
2022-01-01 04:56:00,22,87,Cloudy
2022-01-01 05:56:00,22,84,Cloudy
2022-01-01 06:40:00,22,87,Mostly Cloudy
2022-01-01 06:56:00,21,87,Mostly Cloudy
2022-01-01 07:56:00,22,87,Cloudy
2022-01-01 08:12:00,22,87,Mostly Cloudy
2022-01-01 08:56:00,22,84,Mostly Cloudy
2022-01-01 09:24:00,23,81,Mostly Cloudy
2022-01-01 09:51:00,23,78,Mostly Cloudy
2022-01-01 09:56:00,23,79,Mostly Cloudy
2022-01-01 10:56:00,25,69,Mostly Cloudy
2022-01-01 11:56:00,25,66,Mostly Cloudy
2022-01-01 12:25:00,26,64,Mostly Cloudy
2022-01-01 12:56:00,26,62,Mostly Cloudy
2022-01-01 13:56:00,26,62,Mostly Cloudy
2022-01-01 14:56:00,26,60,Mostly Cloudy
2022-01-01 15:56:00,26,60,Mostly Cloudy
2022-01-01 16:56:00,26,62,Partly Cloudy
2022-01-01 17:56:00,24,66,Fair
2022-01-01 18:56:00,23,71,Fair
2022-01-01 19:56:00,23,71,Fair
2022-01-01 20:56:00,22,71,Fair
2022-01-01 21:56:00,22,68,Partly Cloudy
2022-01-01 22:56:00,23,64,Mostly Cloudy
2022-01-01 23:56:00,22,68,Fair
