time,ambient_temperature,relative_humidity,weather_condition
2022-10-13 00:57:00,19,100,Partly Cloudy
2022-10-13 01:03:00,19,100,Partly Cloudy
2022-10-13 01:56:00,19,100,Mostly Cloudy
2022-10-13 02:29:00,19,100,Mostly Cloudy
2022-10-13 02:56:00,20,96,Mostly Cloudy
2022-10-13 03:34:00,20,96,Cloudy
2022-10-13 03:56:00,20,96,Cloudy
2022-10-13 04:34:00,19,100,Cloudy
2022-10-13 04:56:00,19,100,Mostly Cloudy
2022-10-13 05:56:00,19,100,Fair
2022-10-13 06:43:00,18,100,Fair
2022-10-13 06:56:00,18,100,Fog
2022-10-13 07:06:00,18,100,Fog
2022-10-13 07:28:00,18,100,Fog
2022-10-13 07:56:00,18,100,Fog
2022-10-13 08:33:00,18,100,Fog
2022-10-13 08:48:00,18,100,Fog
2022-10-13 08:56:00,18,100,Fog
2022-10-13 09:11:00,18,100,Fog
2022-10-13 09:43:00,19,100,Cloudy
2022-10-13 09:56:00,19,100,Cloudy
2022-10-13 10:24:00,19,100,Mostly Cloudy
2022-10-13 10:44:00,20,93,Mostly Cloudy
2022-10-13 10:56:00,21,90,Cloudy
2022-10-13 11:10:00,21,87,Cloudy
2022-10-13 11:56:00,21,84,Cloudy
2022-10-13 12:47:00,22,84,Cloudy
2022-10-13 12:56:00,22,84,Cloudy
2022-10-13 13:56:00,23,79,Mostly Cloudy
2022-10-13 14:56:00,23,76,Partly Cloudy
2022-10-13 15:56:00,24,69,Partly Cloudy
2022-10-13 16:56:00,24,69,Mostly Cloudy
2022-10-13 17:56:00,24,67,Partly Cloudy
2022-10-13 18:56:00,23,76,Partly Cloudy
2022-10-13 19:56:00,21,90,Partly Cloudy
2022-10-13 20:56:00,20,84,Fair
2022-10-13 21:56:00,18,84,Fair
2022-10-13 22:56:00,17,84,Fair
2022-10-13 23:56:00,17,81,Fair
